smi_153	N1CCN(CC1)c1ccc(cc1)c1cnc2n(c1)ncc2c1ccnc2c1cccc2
smi_154	CCCCCCCCc1ccc(cc1)CCC(CO)(CO)N.Cl
smi_155	CCOc1ccccc1N=Nc1c(C)[nH]n(c1=O)c1scc(n1)c1ccccc1
smi_156	O=C(Nc1cc(ccc1c1ccsc1)S(=O)(=O)NC1CC1)Nc1cccc(c1)C(F)(F)F
smi_157	S=C(Nc1ccc(cc1)F)NNc1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
smi_158	O=C(Nc1ccc(cn1)c1cnccn1)Cc1cnc(c(c1)C)c1ccnc(c1)C
smi_159	O=C(Nc1ccc(cc1)c1cccnc1)Cc1ccc(cc1)c1ccnc(c1)C
smi_160	CCC(CNCC(=O)N1CCc2c(C1COc1cccc(c1)C)ccs2)C
smi_161	OC1C(O)C(OC1n1cnc(c1N)C(=O)N)COP(=O)(O)O
smi_162	COc1cc2N(C)C3C4(c2cc1C1(CC2CN(CCc5c1[nH]c1c5cccc1)CC(C2)(O)CC)C(=O)OC)CCN1C4C(C(C3(O)C(=O)OC)OC(=O)C)(CC)C=CC1
smi_163	OC(=O)CCC(C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C
smi_164	CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C
smi_165	COc1cc2ncnc(c2cc1OCCCN1CCOCC1)Nc1ccc(c(c1)Cl)F
smi_166	ONC(=O)CCCCCCC(=O)Nc1ccccc1
smi_167	Cc1ncn(c1)c1cc(NC(=O)c2ccc(c(c2)Nc2nccc(n2)c2cccnc2)C)cc(c1)C(F)(F)F
smi_168	OCC(CC1(CC1)S(=O)(=O)Nc1c(OC)cc(c(c1Nc1ccc(cc1F)I)F)F)O
smi_169	Ic1ccc(c(c1)Cl)Nc1c(ccc(c1F)F)C(=O)NOCC1CC1
smi_170	COC1CC(CCC1OC(=O)C(CO)(CO)C)CC(C1OC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(CCC2C)CC(OC)C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)C1)C)C)O)OC)C)C)C)C
smi_171	O=C(N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2)C1CC1
smi_172	NC(=O)c1cccc2c1nc([nH]2)C1(C)CCCN1
smi_173	COc1cc2c(cc1OCCCN1CCN(CC1)C)ncc(c2Nc1cc(OC)c(cc1Cl)Cl)C#N
smi_174	O=C1CCC(C(=O)N1)N1Cc2c(C1=O)cccc2N
smi_175	CNC(=O)c1ccccc1Sc1ccc2c(c1)[nH]nc2C=Cc1ccccn1
smi_176	O=C1Nc2c(C1=Cc1cn(c3c1cccc3)C)nccc2
smi_177	OCC1(O)CC2OC1(C)n1c3c4n2c2ccccc2c4c2c(c3c3c1cccc3)CNC2=O
smi_178	Clc1ccc(c(c1)Cl)C1=C(C(=O)NC1=O)c1cn(c2c1cccc2)C
smi_179	C=CCNC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(C(C=CC=C(C(=O)NC(=CC1=O)C2=O)C)OC)OC(=O)N
smi_180	Fc1ccc(c(c1)F)c1nc(ccc1C(=O)N)N(c1c(F)cccc1F)C(=O)N
smi_181	O=C(c1cccnc1NCc1ccncc1)Nc1ccc2c(c1)NCC2(C)C
smi_182	O=c1cc(oc(c1)c1cccc2c1Sc1ccccc1S2)N1CCOCC1
smi_183	CN(C(=S)c1ccccc1)NC(=O)CC(=O)NN(C(=S)c1ccccc1)C
smi_184	O=C(c1ccc(cc1Cl)S(=O)(=O)C)Nc1ccc(c(c1)c1ccccn1)Cl
smi_185	CCCS(=O)(=O)Nc1ccc(c(c1F)C(=O)c1c[nH]c2c1cc(Cl)cn2)F
smi_186	O=C(N1CCCC1)Nc1cccc(c1)Nc1ncc(c(n1)NCCCNC(=O)c1cccs1)I
smi_187	O=c1cc(oc2c1cccc2c1cccc2c1sc1c2cccc1)N1CCOCC1
smi_188	CC(=O)OC1C(C)OC(C(C1OC(=O)C)O)Oc1c(oc2c(c1=O)c(O)cc(c2)O)c1ccc(cc1)O
smi_189	O=C(Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C)Nc1ccc(c2c1cccc2)OCCN1CCOCC1
smi_190	CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(c1C#N)N
smi_191	Oc1ccc2c(c1)c1c([nH]2)cc(c2c1c(=O)[nH]c2=O)c1ccccc1Cl
smi_192	O=C1NC(=N)SC1=Cc1ccc(cc1)O
smi_193	CCN(CCCCNc1ncc2c(n1)nc(c(c2)c1cc(OC)cc(c1)OC)NC(=O)NC(C)(C)C)CC
smi_194	COc1cc2c(ncnc2cc1OCCCN1CCOCC1)Nc1ccc(cc1)NC(=O)c1ccccc1
smi_195	O=C1NC(=NCc2cccs2)SC1=Cc1ccc2c(c1)cccn2
smi_196	O=c1[nH]nc2n1ccc1c2cc(c(n1)c1ccc(cc1)C1(N)CCC1)c1ccccc1
smi_197	CC(=O)c1c(C)c2cnc(nc2n(c1=O)C1CCCC1)Nc1ccc(cn1)N1CCNCC1
smi_198	N#CC(c1ccc(cc1)n1c(=O)n(c2c1c1cc(ccc1nc2)c1cnc2c(c1)cccc2)C)(C)C
smi_199	CS(=O)(=O)N1CCN(CC1)Cc1cc2c(s1)c(nc(n2)c1cccc2c1cn[nH]2)N1CCOCC1
